comuna,pacto,partido
FUTALEUFU,INDEPENDIENTES,INDEPENDIENTES
FUTRONO,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE
GALVARINO,UNIDOS POR LA DIGNIDAD,INDEPENDIENTES-LISTA XU
GENERAL LAGOS,CHILE VAMOS,RENOVACION NACIONAL
GORBEA,UNIDOS POR LA DIGNIDAD,PARTIDO DEMOCRATA CRISTIANO
GRANEROS,INDEPENDIENTES,INDEPENDIENTES
GUAITECAS,UNIDAD POR EL APRUEBO,PARTIDO POR LA DEMOCRACIA
HIJUELAS,INDEPENDIENTES,INDEPENDIENTES
HUALAIHUE,INDEPENDIENTES,INDEPENDIENTES
HUALAÑE,UNIDOS POR LA DIGNIDAD,PARTIDO DEMOCRATA CRISTIANO
HUALPEN,UNIDAD POR EL APRUEBO,PARTIDO POR LA DEMOCRACIA
HUALQUI,INDEPENDIENTES,INDEPENDIENTES
HUARA,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE
HUASCO,INDEPENDIENTES,INDEPENDIENTES
HUECHURABA,UNIDAD POR EL APRUEBO,PARTIDO POR LA DEMOCRACIA
ILLAPEL,UNIDOS POR LA DIGNIDAD,PARTIDO DEMOCRATA CRISTIANO
INDEPENDENCIA,INDEPENDIENTES,INDEPENDIENTES
IQUIQUE,UNIDAD POR EL APRUEBO,INDEPENDIENTES-LISTA K
ISLA DE MAIPO,CHILE VAMOS,INDEPENDIENTES-LISTA XX
ISLA DE PASCUA,UNIDOS POR LA DIGNIDAD,PARTIDO PROGRESISTA DE CHILE
JUAN FERNANDEZ,UNIDAD POR EL APRUEBO,INDEPENDIENTES-LISTA K
LA CISTERNA,INDEPENDIENTES,INDEPENDIENTES
LA CRUZ,UNIDAD POR EL APRUEBO,PARTIDO SOCIALISTA DE CHILE
LA ESTRELLA,INDEPENDIENTES,INDEPENDIENTES
LA FLORIDA,CHILE VAMOS,INDEPENDIENTES-LISTA XX
LA GRANJA,UNIDOS POR LA DIGNIDAD,PARTIDO DEMOCRATA CRISTIANO
LA HIGUERA,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE
LA LIGUA,INDEPENDIENTES,INDEPENDIENTES
LA PINTANA,UNIDOS POR LA DIGNIDAD,PARTIDO DEMOCRATA CRISTIANO
LA REINA,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE
LA SERENA,UNIDAD POR EL APRUEBO,PARTIDO RADICAL DE CHILE
LA UNION,UNIDAD POR EL APRUEBO,PARTIDO SOCIALISTA DE CHILE
LAGO RANCO,CHILE VAMOS,RENOVACION NACIONAL
LAGO VERDE,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE
LAGUNA BLANCA,UNIDAD POR EL APRUEBO,PARTIDO SOCIALISTA DE CHILE
LAJA,INDEPENDIENTES,INDEPENDIENTES
LAMPA,INDEPENDIENTES,INDEPENDIENTES
LANCO,UNIDAD POR EL APRUEBO,PARTIDO SOCIALISTA DE CHILE
LAS CABRAS,UNIDOS POR LA DIGNIDAD,PARTIDO PROGRESISTA DE CHILE
LAS CONDES,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE
LAUTARO,UNIDOS POR LA DIGNIDAD,INDEPENDIENTES-LISTA XU
LEBU,UNIDOS POR LA DIGNIDAD,INDEPENDIENTES-LISTA XU
LICANTEN,INDEPENDIENTES,INDEPENDIENTES
LIMACHE,CHILE VAMOS,RENOVACION NACIONAL
LINARES,CHILE VAMOS,RENOVACION NACIONAL
LITUECHE,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE
LLAILLAY,UNIDOS POR LA DIGNIDAD,PARTIDO DEMOCRATA CRISTIANO
LLANQUIHUE,UNIDOS POR LA DIGNIDAD,PARTIDO DEMOCRATA CRISTIANO
LO BARNECHEA,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE
LO ESPEJO,CHILE DIGNO VERDE Y SOBERANO,PARTIDO COMUNISTA DE CHILE
LO PRADO,UNIDAD POR EL APRUEBO,PARTIDO POR LA DEMOCRACIA
LOLOL,INDEPENDIENTES,INDEPENDIENTES
LONCOCHE,INDEPENDIENTES,INDEPENDIENTES
LONGAVI,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE
LONQUIMAY,UNIDOS POR LA DIGNIDAD,INDEPENDIENTES-LISTA XU
LOS ALAMOS,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE
LOS ANDES,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE
LOS ANGELES,UNIDAD POR EL APRUEBO,PARTIDO RADICAL DE CHILE
LOS LAGOS,CHILE DIGNO VERDE Y SOBERANO,PARTIDO COMUNISTA DE CHILE
LOS MUERMOS,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE
LOS SAUCES,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE
LOS VILOS,INDEPENDIENTES,INDEPENDIENTES
LOTA,INDEPENDIENTES,INDEPENDIENTES
LUMACO,CHILE VAMOS,INDEPENDIENTES-LISTA XX
MACHALI,INDEPENDIENTES,INDEPENDIENTES
MACUL,INDEPENDIENTES,INDEPENDIENTES
MAFIL,UNIDAD POR EL APRUEBO,PARTIDO POR LA DEMOCRACIA
MAIPU,FRENTE AMPLIO,REVOLUCION DEMOCRATICA
MALLOA,UNIDAD POR EL APRUEBO,INDEPENDIENTES-LISTA K
MARCHIGUE,DIGNIDAD AHORA,PARTIDO HUMANISTA
