comuna,apruebo,rechazo,votos_en_blanco_2022,votos_nulos_2022,a_favor,en_contra,votos_en_blanco_2023,votos_nulos_2023,numero_de_personas_segun_proyecciones_de_poblacion,numero_de_personas_en_situacion_de_pobreza_por_ingresos,porcentaje_de_personas_en_situacion_de_pobreza_por_ingresos_2022,pacto,partido,grupo_edad_unido,poblacion_censada.x,hombres,mujeres,porcentaje_hombres,porcentaje_mujeres,poblacion_censada.y,nunca_asistio,diferencial,parvularia,basica,media,superior,nivel_educativo_no_declarado,escolaridad_promedio_hombres_18_mas,escolaridad_promedio_mujeres_18_mas
Estacion Central,45262,49811,683,1635,35625,56070,1109,3175,218525,11019,0.05042396159541926,Frente Amplio,Independientes-Lista Xs,1,53801,27179,26622,50.52,49.48,181049,6561,800,7932,33371,72847,57558,1980,12.5,12.5
Florida,2085,7517,76,119,5053,4335,176,398,11869,1279,0.1077854627772424,Unidos Por La Dignidad,Partido Democrata Cristiano,3,2954,1507,1447,51.02,48.98,12958,584,44,515,4701,4171,2923,20,10.2,10.5
Freire,4789,14599,139,349,9859,8756,363,1019,25479,3672,0.1441236436286287,Unidos Por La Dignidad,Partido Democrata Cristiano,3,5662,2804,2858,49.52,50.48,26164,1039,123,1066,10148,9401,4255,132,10,10
Freirina,2244,2803,55,78,1531,3383,86,224,7790,1043,0.1338693829029102,Unidad Por El Apruebo,Partido Socialista De Chile,3,1532,779,753,50.85,49.15,7577,319,31,356,2404,3261,1176,30,10.4,10.6
Fresia,2599,7912,104,113,5350,4615,325,528,12606,1413,0.1120609040367706,Unidos Por La Dignidad,Partido Democrata Cristiano,3,2744,1378,1366,50.22,49.78,12320,570,29,515,4888,4480,1806,32,9.5,9.7
Frutillar,4022,11721,134,223,8080,7595,316,689,20589,1202,0.05836224763555845,Unidad Por El Apruebo,Partido Socialista De Chile,2,4745,2303,2442,48.54,51.46,22554,783,93,1098,7352,7730,5375,123,11.1,11.1
Futaleufu,578,1406,25,40,1016,901,66,111,2872,161,0.05599040419100522,Independientes,Independientes,2,693,336,357,48.48,51.52,3062,127,7,160,896,1025,833,14,11.3,11.9
Futrono,2758,9595,100,152,6450,5578,252,450,15228,1418,0.09314674753172754,Chile Vamos,Union Democrata Independiente,3,3184,1575,1609,49.47,50.53,15635,673,58,697,5922,5647,2610,28,10.1,10.2
Galvarino,2454,7395,101,159,4722,4619,305,457,12594,2111,0.1675842073730385,Unidos Por La Dignidad,Independientes-Lista Xu,3,2520,1275,1245,50.6,49.4,12710,856,53,542,5139,4617,1481,22,9.2,9.2
General Lagos,92,648,4,19,311,185,8,36,668,142,0.212383442279538,Chile Vamos,Renovacion Nacional,3,102,52,50,50.98,49.02,508,78,3,28,250,123,23,3,7.8,5.8
Gorbea,2444,9691,93,155,6911,4740,193,487,15089,1925,0.12754527656974,Unidos Por La Dignidad,Partido Democrata Cristiano,3,3011,1443,1568,47.92,52.08,14148,465,58,580,4734,5572,2701,38,10.3,10.5
Graneros,9559,15194,162,336,9652,14656,393,926,37562,1980,0.05272534982380029,Independientes,Independientes,1,8163,4074,4089,49.91,50.09,35938,1227,225,1597,9765,14252,8633,239,11.5,11.5
Guaitecas,383,700,14,15,476,539,36,37,1606,97,0.06050256021365802,Unidad Por El Apruebo,Partido Por La Democracia,2,406,212,194,52.22,47.78,1598,53,4,82,612,563,283,1,10.2,10.6
Hijuelas,4453,9924,100,280,6444,7553,213,695,19342,1757,0.09084773723802529,Independientes,Independientes,1,4143,2092,2051,50.49,49.51,19286,743,115,966,6143,7379,3887,53,10.5,11
Hualaihue,2095,5218,78,115,3390,3707,230,345,9556,990,0.1035540993190805,Independientes,Independientes,2,2016,1040,976,51.59,48.41,9480,340,21,461,3739,3348,1546,25,9.8,10.3
Hualane,2816,5810,79,153,3757,4504,199,443,10231,942,0.09209534067128783,Unidos Por La Dignidad,Partido Democrata Cristiano,3,2375,1166,1209,49.09,50.91,10775,508,49,470,4030,3597,2075,46,9.6,10.2
Hualpen,26284,42148,343,1227,27217,38956,699,2750,97776,3144,0.03215565444671543,Unidad Por El Apruebo,Partido Por La Democracia,1,19414,9700,9714,49.96,50.04,87731,1914,625,3295,17772,32853,31056,216,12.5,12.3
Hualqui,5255,13222,112,330,8315,9721,268,929,26558,2746,0.1033807937198529,Independientes,Independientes,1,5417,2651,2766,48.94,51.06,25795,1006,221,1087,7970,9611,5812,88,10.8,11
Huara,664,2243,8,45,1366,1060,20,117,3072,555,0.1806587194051391,Chile Vamos,Union Democrata Independiente,1,605,307,298,50.74,49.26,2858,187,5,174,1019,1123,329,21,10.1,9.8
Huasco,3367,3659,61,112,2207,4522,87,331,11485,1306,0.1137412786295817,Independientes,Independientes,1,1858,904,954,48.65,51.35,9369,248,44,449,2501,3979,2054,94,11.3,11.4
Huechuraba,29953,37049,349,987,27017,38474,725,2093,116377,4977,0.04276557208513348,Unidad Por El Apruebo,Partido Por La Democracia,2,22033,10568,11465,47.96,52.04,101808,2517,489,5018,22550,32343,38222,669,13.1,12.8
Illapel,9889,13523,217,416,7553,14834,462,1067,32965,2655,0.08052492714721493,Unidos Por La Dignidad,Partido Democrata Cristiano,2,6335,3035,3300,47.91,52.09,32009,1134,161,1449,9972,12492,6705,96,10.8,10.9
Independencia,27284,35067,427,1126,25714,36036,776,2161,150807,8798,0.0583398308206952,Independientes,Independientes,1,32685,16452,16233,50.34,49.66,116943,3821,476,4910,19342,47139,40437,818,12.9,12.8
Iquique,44451,84433,723,2170,56856,66216,1578,4648,229674,18122,0.07890380841254656,Unidad Por El Apruebo,Independientes-Lista K,1,47802,24175,23627,50.57,49.43,199587,4930,864,9521,37191,77013,67982,2086,13,12.8
Isla de Maipo,9991,16710,134,360,11913,14719,292,902,41550,2668,0.06421486711607165,Chile Vamos,Independientes-Lista Xx,1,8406,4259,4147,50.67,49.33,39274,1410,180,1911,11203,14941,9433,196,11.3,11.4
Isla de Pascua,2355,1865,41,80,989,2223,42,124,8656,470,0.05428690418611916,Unidos Por La Dignidad,Partido Progresista De Chile,2,1239,587,652,47.38,52.62,4800,112,14,325,910,1683,1531,225,12.3,13.3
Juan Fernandez,315,226,4,10,155,324,4,25,1081,27,0.02468741376426857,Unidad Por El Apruebo,Independientes-Lista K,2,235,125,110,53.19,46.81,904,10,3,60,232,296,290,13,12.3,12.8
La Cisterna,30768,35441,385,1064,25701,38212,645,2046,101315,4146,0.04092312857712747,Independientes,Independientes,1,26851,13371,13480,49.8,50.2,103157,2892,485,4195,17262,37119,40011,1193,13.1,12.9
La Cruz,5621,9747,77,278,7095,8386,167,631,26916,854,0.03173284322544457,Unidad Por El Apruebo,Partido Socialista De Chile,2,5982,2797,3185,46.76,53.24,24939,678,114,1200,5323,8241,9289,94,12.8,12.9
La Estrella,1222,2287,19,68,1720,1812,64,179,3105,302,0.09728368546986366,Independientes,Independientes,3,1061,522,539,49.2,50.8,4609,166,11,177,1656,1746,849,4,10.3,10.4
La Florida,134270,134628,1501,4553,97609,161879,2749,8852,406402,14346,0.03529903004289563,Chile Vamos,Independientes-Lista Xx,1,86925,43702,43223,50.28,49.72,374836,8503,2122,14851,69221,127408,149975,2756,13.2,12.8
La Granja,42306,42882,514,1736,27321,53228,985,3348,120772,7283,0.06030167960083704,Unidos Por La Dignidad,Partido Democrata Cristiano,1,25182,12832,12350,50.96,49.04,112022,3297,921,4577,28841,50096,23503,787,11.3,11.1
La Higuera,1444,2274,25,83,1515,2050,95,219,4508,485,0.1074879738365082,Chile Vamos,Union Democrata Independiente,3,855,451,404,52.75,47.25,4335,278,16,176,1657,1690,490,28,9.1,9.7
La Ligua,11405,16366,210,420,11023,16387,475,1105,38178,3121,0.0817521029546143,Independientes,Independientes,3,7957,3710,4247,46.63,53.37,39270,1274,184,1792,11585,15080,9211,144,11,11.3
La Pintana,54702,63136,775,2042,37983,73620,1438,4428,189224,17586,0.09293843186111617,Unidos Por La Dignidad,Partido Democrata Cristiano,1,40108,19830,20278,49.44,50.56,175421,6463,1541,8938,55286,78519,23383,1291,10.4,10.4
La Reina,30190,45487,463,899,35874,36840,805,1630,99946,1602,0.01602711747203892,Chile Vamos,Union Democrata Independiente,2,19518,9184,10334,47.05,52.95,89870,1346,404,4098,12963,17857,52383,819,15.3,14.7
