nombre_comuna,numero_de_personas_segun_proyecciones_de_poblacion,numero_de_personas_en_situacion_de_pobreza_por_ingresos,porcentaje_de_personas_en_situacion_de_pobreza_por_ingresos_2022
Santa Juana,14855,1902,0.1280438568771017
Talcahuano,158184,8040,0.0508274311371509
Tomé,58999,4706,0.07976940720072444
Hualpén,97776,3144,0.03215565444671543
Lebu,27138,2856,0.1052461122573942
Arauco,38861,3574,0.09196337778997375
Cañete,37296,4950,0.1327324636700346
Contulmo,6354,781,0.1229370962304697
Curanilahue,33936,2879,0.08483693561802849
Los Álamos,22801,2532,0.1110636110482628
Tirúa,11078,2225,0.2008124298944406
Los Ángeles,221851,18753,0.08453032224259051
Antuco,4318,624,0.1445153956231243
Cabrero,30973,3206,0.1035195465766158
Laja,23909,2693,0.1126259380668065
Mulchén,31099,3782,0.1216238491587788
Nacimiento,28003,3073,0.109726027871444
Negrete,10527,1047,0.09945547522983768
Quilaco,4182,545,0.1302699543346095
Quilleco,10006,1349,0.1348236293186302
San Rosendo,3569,392,0.1097114228804065
Santa Bárbara,14648,2159,0.1474064808854524
Tucapel,15340,1680,0.1095376758567159
Yumbel,22180,2786,0.1255900304518519
Alto Biobío,6784,1500,0.2211119832696153
Temuco,307099,26372,0.08587311346858956
Carahue,25516,4571,0.1791262112929498
Cunco,18059,2674,0.1480947838943408
Curarrehue,7842,1193,0.1521925567262996
Freire,25479,3672,0.1441236436286287
Galvarino,12594,2111,0.1675842073730385
Gorbea,15089,1925,0.12754527656974
Lautaro,41460,3654,0.08813353056098992
Loncoche,24780,3042,0.1227706099754267
Melipeuco,6299,987,0.1566905777888791
Nueva Imperial,34018,4364,0.1282838681912552
Padre Las Casas,84144,10688,0.1270210990427323
Perquenco,7259,1027,0.1414140149910871
Pitrufquén,26418,2820,0.1067562143921306
Pucón,30373,2477,0.08156309193863791
Saavedra,12717,3087,0.2427790507363581
Teodoro Schmidt,15767,3143,0.1993382101295594
Toltén,9981,1676,0.1678913118682342
Vilcún,31949,3742,0.1171375768691899
Villarrica,60093,4612,0.07674309015865927
Cholchol,12539,2469,0.1968788132237581
Angol,56542,5104,0.09026620950091796
Collipulli,26414,3470,0.1313837175107866
Curacautín,18217,1991,0.1092938122360393
Ercilla,8422,1503,0.1784881441824691
Lonquimay,11091,2036,0.1836051616650008
Los Sauces,7494,1301,0.1735602636652928
Lumaco,9959,2138,0.2146869468141867
Purén,12136,1571,0.1294895634365
Renaico,10939,1365,0.1247576527893416
Traiguén,19278,2727,0.1414555179852079
Victoria,35534,5099,0.1434975133541408
Puerto Montt,276525,17963,0.06496075205539688
Calbuco,37293,3174,0.08510298443700641
Cochamó,3972,429,0.1079937247332228
Fresia,12606,1413,0.1120609040367706
Frutillar,20589,1202,0.05836224763555845
Los Muermos,17826,2076,0.116458852845239
Llanquihue,18775,1111,0.05916948740219628
Maullín,14796,1879,0.1269646823510594
Puerto Varas,50272,1063,0.02114984096160757
Castro,48336,1559,0.03226115623962791
Ancud,42489,2348,0.05525791917356562
Chonchi,16180,1501,0.09279663915861067
Curaco De Vélez,4109,388,0.09454132406176127
Dalcahue,15316,1432,0.09349236410441326
Puqueldón,4192,744,0.177582537963943
Queilén,5544,680,0.1225810557964359
Quellón,29791,2685,0.09011758946437072
Quemchi,8764,1085,0.1237815143860561
Quinchao,8223,1023,0.1243995669858368
Osorno,175275,10799,0.06161340893619202
Puerto Octay,9108,686,0.0752986706991756
Purranque,21006,1804,0.08589213148773951
Puyehue,11806,1129,0.09566143393676237
Río Negro,14160,1177,0.08309811343413728
San Juan De La Costa,7521,967,0.1285194389222041
San Pablo,10546,1036,0.09825033302033162
Chaitén,5052,452,0.08950986712718918
Futaleufú,2872,161,0.05599040419100522
Hualaihué,9556,990,0.1035540993190805
Palena,1821,166,0.09120230295373533
Coyhaique,61766,1781,0.02883525854633565
Lago Verde,913,8,0.008747026712438896
Aysén,25100,1325,0.05279856301700174
Cisnes,5862,290,0.04951588699475602
Guaitecas,1606,97,0.06050256021365802
Cochrane,3722,236,0.06328163927296156
O’higgins,672,62,0.09157446235094517
Tortel,574,26,0.04592469714109936
Chile Chico,5143,319,0.06202078241138624
Río Ibáñez,2705,189,0.06984797922222956
Punta Arenas,144415,5055,0.03500057934797781
Laguna Blanca,257,6,0.02250673905537242
Río Verde,207,6,0.02818903550709916
San Gregorio,662,53,0.08059834822323776
Cabo De Hornos,1977,23,0.01186221304315507
Porvenir,7528,273,0.03627486931911551
Primavera,684,9,0.01296169787156448
Timaukel,265,17,0.06433886185884925
Natales,24339,755,0.03103493984765365
Torres Del Paine,1057,56,0.05271174535144489
Santiago,530538,20504,0.03864781172163236
Cerrillos,89907,4701,0.05228701117757076
Cerro Navia,141122,8486,0.06013533802509001
Conchalí,138230,8404,0.06079947209369204
El Bosque,170902,10593,0.06198237259124578
Estación Central,218525,11019,0.05042396159541926
Huechuraba,116377,4977,0.04276557208513348
Independencia,150807,8798,0.0583398308206952
La Cisterna,101315,4146,0.04092312857712747
La Florida,406402,14346,0.03529903004289563
La Granja,120772,7283,0.06030167960083704
La Pintana,189224,17586,0.09293843186111617
La Reina,99946,1602,0.01602711747203892
Las Condes,339547,3088,0.009093252219182184
Lo Barnechea,128997,1165,0.009028313249676453
Lo Espejo,102145,6927,0.067816947929765
Lo Prado,103390,5507,0.05326684737949042
Macul,137336,4772,0.03474735460906117
Maipú,585951,19051,0.03251240739781768
Ñuñoa,261138,3888,0.01488843954831383
Pedro Aguirre Cerda,106065,5805,0.05473172882253488
Peñalolén,271089,8788,0.03241671332301811
Providencia,162013,2142,0.01321907454820707
Pudahuel,259195,11317,0.04366049437083934
